date,USD,SAR,MYR,SGD,THB,TRY,JPY,VND,IDR
2023-09-22,0.272254,1.021234,1.27728,0.371873,9.793075,7.397876,40.369918,6635.50901,4181.017279
2023-09-23,0.272254,1.021234,1.27728,0.371873,9.793075,7.397876,40.369918,6635.50901,4181.017279
2023-09-24,0.272266,1.021278,1.276246,0.371887,9.796117,7.40437,40.415134,6635.801029,4186.088453
2023-09-25,0.27226,1.02121,1.275674,0.371985,9.848458,7.411099,40.515665,6641.778548,4196.068497
2023-09-26,0.272262,1.021141,1.276944,0.372834,9.916866,7.445757,40.579655,6639.10182,4220.056519
2023-09-27,0.272261,1.02117,1.281811,0.373812,9.98647,7.44302,40.704126,6643.171328,4240.739205
2023-09-28,0.272258,1.021098,1.281925,0.371931,9.961229,7.477259,40.659917,6643.087849,4214.821434
2023-09-29,0.272254,1.021096,1.278301,0.371927,10.034204,7.463328,40.667954,6617.133804,4218.126723
2023-09-30,0.272254,1.021096,1.2783,0.371927,10.034201,7.463325,40.667942,6617.13187,4218.125491
2023-10-01,0.272254,1.021089,1.278314,0.372175,9.988049,7.483203,40.714237,6617.135346,4207.686763
2023-10-02,0.272258,1.021118,1.28425,0.37393,10.08567,7.478119,40.799524,6630.848872,4231.437206
2023-10-03,0.272254,1.021115,1.285994,0.373943,10.099904,7.499372,40.619413,6641.647642,4254.928886
2023-10-04,0.272254,1.021117,1.288169,0.373497,10.069312,7.503207,40.557376,6652.523015,4246.615674
2023-10-05,0.272255,1.021038,1.287084,0.372293,10.059541,7.51085,40.420558,6643.011432,4257.516917
2023-10-06,0.272254,1.021166,1.287082,0.371247,10.057161,7.519137,40.627104,6638.912184,4260.2704
2023-10-07,0.272254,1.021057,1.287082,0.371247,10.057161,7.519137,40.627104,6638.912184,4260.2704
2023-10-08,0.272255,1.02106,1.283272,0.372035,10.059717,7.546278,40.610889,6638.933185,4249.897356
2023-10-09,0.272255,1.021194,1.288307,0.371404,10.051612,7.548195,40.384169,6638.944576,4276.640114
2023-10-10,0.27225,1.02108,1.286787,0.371024,9.956983,7.55016,40.464177,6644.249958,4281.87266
2023-10-11,0.272253,1.021224,1.284626,0.370983,9.918221,7.547885,40.575757,6656.583955,4274.370883
2023-10-12,0.272255,1.021172,1.283,0.37287,9.91565,7.581558,40.781294,6655.265,4286.921771
2023-10-13,0.272251,1.021341,1.28734,0.373121,9.883707,7.568798,40.717972,6657.8994,4275.15822
2023-10-14,0.272254,1.021333,1.287354,0.373125,9.883812,7.568878,40.718403,6657.96996,4275.203528
2023-10-15,0.272251,1.021322,1.287339,0.37274,9.853035,7.544431,40.721402,6657.900047,4269.713614
2023-10-16,0.272256,1.021258,1.289397,0.37258,9.884646,7.589178,40.724786,6663.454445,4269.511444
2023-10-17,0.272254,1.021284,1.289383,0.372607,9.90201,7.613966,40.773854,6670.224406,4283.740628
2023-10-18,0.272256,1.021182,1.291717,0.373916,9.906573,7.63619,40.769484,6689.326489,4305.454176
2023-10-19,0.272253,1.021216,1.297286,0.37372,9.915593,7.631063,40.78487,6687.896235,4318.750172
2023-10-20,0.272257,1.021273,1.297985,0.373918,9.932023,7.61884,40.79903,6681.177946,4323.095122
2023-10-21,0.272254,1.021262,1.297972,0.373915,9.931924,7.618764,40.798624,6681.111544,4323.052157
2023-10-22,0.272257,1.021273,1.297984,0.373706,9.948199,7.638133,40.807187,6681.177946,4322.07416
2023-10-23,0.272258,1.021296,1.29799,0.372124,9.886771,7.646762,40.777717,6697.547662,4331.21695
2023-10-24,0.272256,1.021387,1.304169,0.372453,9.847538,7.657882,40.800023,6686.607756,4321.792
2023-10-25,0.272256,1.02128,1.301344,0.373643,9.864027,7.664889,40.865421,6690.70056,4334.59384
2023-10-26,0.272257,1.021305,1.303102,0.372655,9.863912,7.669931,40.938397,6699.144798,4336.230155
2023-10-27,0.272254,1.021338,1.300967,0.372635,9.833913,7.661036,40.743755,6692.001701,4331.75067
2023-10-28,0.272254,1.020747,1.300967,0.372635,9.833913,7.661036,40.743755,6692.001701,4331.75067
2023-10-29,0.27226,1.021357,1.300995,0.373027,9.831445,7.696192,40.763715,6692.15014,4331.846755
2023-10-30,0.272257,1.021393,1.296627,0.371592,9.779476,7.69605,40.597934,6688.818986,4315.279263
2023-10-31,0.272256,1.021271,1.296618,0.372855,9.831115,7.706857,41.192458,6688.64742,4313.881508
2023-11-01,0.272258,1.021354,1.299078,0.372058,9.814755,7.71257,41.004053,6695.497664,4331.075606
2023-11-02,0.272257,1.021389,1.29363,0.371626,9.79568,7.737222,40.974439,6691.403194,4315.822335
2023-11-03,0.272254,1.021376,1.287626,0.36817,9.688983,7.731223,40.666675,6679.750274,4244.193805
2023-11-04,0.272254,1.021376,1.287626,0.36817,9.688983,7.731223,40.666675,6679.750274,4244.193805
2023-11-05,0.272256,1.021382,1.287633,0.368522,9.672013,7.739189,40.694306,6679.789079,4244.218461
2023-11-06,0.272256,1.021114,1.262314,0.367844,9.674204,7.746387,40.835796,6628.06957,4240.929952
2023-11-07,0.272255,1.021252,1.26231,0.368716,9.673121,7.760393,40.940925,6622.609383,4261.067193
2023-11-08,0.272254,1.021227,1.27518,0.369286,9.675848,7.765338,41.073535,6637.541265,4253.41703
2023-11-09,0.272256,1.021263,1.277564,0.370431,9.746368,7.767366,41.20668,6629.442365,4278.23644
2023-11-10,0.272256,1.021228,1.277563,0.370515,9.904783,7.775204,41.253637,6622.632975,4272.803003
2023-11-11,0.272254,1.021237,1.277553,0.370511,9.904699,7.775138,41.253288,6622.576948,4272.766855
2023-11-12,0.272256,1.021236,1.277563,0.370296,9.825592,7.774335,41.23961,6622.63394,4272.803626
2023-11-13,0.27226,1.021186,1.281792,0.36998,9.801372,7.789643,41.288431,6638.503553,4269.818618
2023-11-14,0.272257,1.021196,1.285142,0.367304,9.667944,7.79837,40.964908,6637.086036,4208.824064
2023-11-15,0.272255,1.021059,1.272111,0.367564,9.673166,7.809481,41.173577,6612.536588,4225.197976
2023-11-16,0.272258,1.021016,1.272127,0.366762,9.586207,7.815775,41.035042,6613.288271,4215.646264
2023-11-17,0.272262,1.021116,1.272146,0.365949,9.636857,7.808371,40.712734,6606.441492,4199.453349
2023-11-18,0.272254,1.021091,1.272108,0.365965,9.636565,7.808135,40.711503,6606.241712,4199.326357
2023-11-19,0.272262,1.021122,1.272145,0.365822,9.560484,7.816775,40.824763,6606.44203,4199.453691
2023-11-20,0.272258,1.021127,1.27009,0.364178,9.578845,7.836819,40.393015,6583.19761,4189.791446
2023-11-21,0.272255,1.021109,1.266809,0.364243,9.584597,7.841106,40.33647,6572.232528,4224.184027
2023-11-22,0.272272,1.021182,1.273681,0.365443,9.59771,7.851674,40.695136,6593.068,4262.691415
2023-11-23,0.272279,1.021188,1.273999,0.365155,9.610911,7.854089,40.743897,6602.094231,4256.951944
2023-11-24,0.272285,1.021163,1.275519,0.364972,9.63626,7.858576,40.69706,6609.713761,4229.291038
2023-11-25,0.272279,1.021141,1.275492,0.364964,9.636052,7.858407,40.696182,6609.571166,4229.199798
2023-11-26,0.272285,1.021163,1.275517,0.364856,9.637385,7.86201,40.727953,6609.713761,4229.291038
2023-11-27,0.272279,1.021234,1.275491,0.363866,9.537115,7.872787,40.420656,6600.044902,4221.687137
2023-11-28,0.272294,1.021275,1.272416,0.362219,9.440414,7.875718,40.044616,6600.53856,4179.574127
2023-11-29,0.272302,1.021504,1.272463,0.362853,9.483186,7.882547,40.039404,6608.761859,4209.375575
2023-11-30,0.272302,1.021534,1.26879,0.364121,9.606781,7.872673,40.310153,6606.034796,4236.616763
2023-12-01,0.272323,1.021536,1.272574,0.363171,9.495991,7.87007,39.981057,6617.439813,4197.213323
2023-12-02,0.272301,1.021456,1.272474,0.363142,9.495243,7.869451,39.980631,6614.195622,4202.628311
2023-12-03,0.272301,1.021483,1.272459,0.362871,9.462876,7.873771,39.865447,6614.196641,4202.628959
2023-12-04,0.272301,1.021461,1.27246,0.364258,9.595613,7.875713,40.118667,6604.665597,4215.876093
2023-12-05,0.272301,1.021085,1.270149,0.365127,9.598657,7.87487,40.078931,6609.023041,4210.866149
2023-12-06,0.272294,1.021082,1.271333,0.365353,9.589926,7.874709,40.067487,6611.021076,4224.365953
2023-12-07,0.272294,1.021435,1.272707,0.364773,9.569773,7.873977,39.286436,6611.978028,4222.462402
2023-12-08,0.272294,1.021233,1.270261,0.365156,9.709461,7.876752,39.445575,6597.677895,4240.430783
2023-12-09,0.272301,1.021261,1.270296,0.365166,9.709726,7.876966,39.446649,6597.857551,4240.54625
2023-12-10,0.272316,1.021377,1.270346,0.365299,9.661917,7.883624,39.478243,6598.222897,4240.781064
2023-12-11,0.272302,1.02127,1.275052,0.365945,9.72239,7.887515,39.779446,6605.354666,4262.608345
2023-12-12,0.272294,1.021267,1.27556,0.365205,9.715994,7.905261,39.559121,6608.570913,4241.248477
2023-12-13,0.272294,1.021499,1.278093,0.362924,9.562282,7.895652,38.876625,6611.56815,4181.290647
2023-12-14,0.272279,1.021413,1.272225,0.361697,9.499784,7.891092,38.740054,6603.456654,4213.524038
2023-12-15,0.272286,1.021425,1.272259,0.36324,9.497448,7.891622,38.698708,6609.751135,4228.293879
2023-12-16,0.272279,1.021401,1.272224,0.363194,9.49719,7.891407,38.694932,6609.571166,4228.178752
2023-12-17,0.272294,1.021458,1.272295,0.363045,9.52512,7.877829,38.746517,6609.942733,4228.416446
2023-12-18,0.272279,1.021358,1.278071,0.362722,9.516105,7.911433,38.860661,6632.724832,4207.260431
